Source,Target,Type,Count
1,10,Directed,7
1,11,Directed,4
1,12,Directed,1
1,16,Directed,25
1,18,Directed,3
1,19,Directed,11
1,25,Directed,1
1,26,Directed,1
1,3,Directed,37
1,30,Directed,1
1,33,Directed,3
1,34,Directed,1
1,5,Directed,1
1,6,Directed,2
1,7,Directed,1
1,8,Directed,1
1,9,Directed,4
10,1,Directed,2
10,11,Directed,41
10,16,Directed,4
10,18,Directed,2
10,19,Directed,47
10,24,Directed,1
10,25,Directed,1
10,27,Directed,1
10,33,Directed,1
10,6,Directed,3
11,1,Directed,2
11,10,Directed,18
11,12,Directed,2
11,14,Directed,2
11,15,Directed,1
11,16,Directed,5
11,18,Directed,8
11,19,Directed,40
11,21,Directed,1
11,28,Directed,1
11,32,Directed,1
11,37,Directed,1
11,6,Directed,2
12,10,Directed,1
12,11,Directed,2
12,18,Directed,1
12,19,Directed,3
12,25,Directed,1
12,29,Directed,1
12,32,Directed,7
12,6,Directed,6
13,1,Directed,15
13,10,Directed,3
13,11,Directed,4
13,14,Directed,1
13,16,Directed,11
13,18,Directed,1
13,19,Directed,55
13,20,Directed,6
13,24,Directed,5
13,29,Directed,1
13,30,Directed,1
13,33,Directed,4
13,34,Directed,6
13,38,Directed,1
13,7,Directed,21
13,8,Directed,2
13,9,Directed,12
14,12,Directed,1
14,15,Directed,3
14,17,Directed,4
14,2,Directed,2
14,23,Directed,3
14,26,Directed,1
14,27,Directed,1
14,29,Directed,118
14,6,Directed,6
14,7,Directed,1
15,16,Directed,1
15,26,Directed,3
15,27,Directed,52
15,29,Directed,3
15,6,Directed,8
16,1,Directed,3
16,10,Directed,36
16,11,Directed,13
16,12,Directed,6
16,13,Directed,2
16,14,Directed,3
16,18,Directed,125
16,19,Directed,6
16,20,Directed,1
16,25,Directed,1
16,26,Directed,1
16,34,Directed,1
16,35,Directed,4
16,36,Directed,2
16,37,Directed,1
16,38,Directed,1
16,6,Directed,5
16,9,Directed,1
17,1,Directed,27
17,11,Directed,2
17,12,Directed,2
17,13,Directed,1
17,15,Directed,1
17,2,Directed,9
17,23,Directed,60
17,26,Directed,3
17,3,Directed,7
17,31,Directed,2
17,33,Directed,2
17,34,Directed,1
17,36,Directed,1
17,38,Directed,1
17,6,Directed,59
18,11,Directed,1
18,14,Directed,21
18,15,Directed,4
18,16,Directed,3
18,25,Directed,2
18,26,Directed,1
18,27,Directed,1
18,29,Directed,1
18,35,Directed,134
18,36,Directed,37
18,6,Directed,2
19,1,Directed,14
19,10,Directed,3
19,11,Directed,2
19,15,Directed,9
19,16,Directed,34
19,17,Directed,1
19,18,Directed,56
19,2,Directed,2
19,20,Directed,1
19,26,Directed,2
19,30,Directed,1
19,33,Directed,8
19,34,Directed,5
19,35,Directed,1
19,36,Directed,7
19,5,Directed,1
19,6,Directed,20
19,7,Directed,10
19,9,Directed,22
2,12,Directed,1
2,16,Directed,1
2,26,Directed,1
2,38,Directed,4
2,6,Directed,57
20,10,Directed,1
20,13,Directed,2
20,14,Directed,2
20,16,Directed,2
20,3,Directed,2
20,30,Directed,3
20,33,Directed,1
20,8,Directed,8
21,11,Directed,2
21,16,Directed,2
21,30,Directed,9
21,36,Directed,2
22,16,Directed,1
22,28,Directed,8
23,10,Directed,1
23,2,Directed,25
23,5,Directed,22
23,6,Directed,18
24,1,Directed,5
24,10,Directed,14
24,12,Directed,1
24,15,Directed,1
24,18,Directed,1
24,19,Directed,4
24,6,Directed,5
25,1,Directed,1
25,11,Directed,1
25,12,Directed,1
25,13,Directed,1
25,14,Directed,36
25,29,Directed,1
25,6,Directed,1
25,7,Directed,1
26,33,Directed,1
26,38,Directed,1
26,6,Directed,14
27,17,Directed,4
27,6,Directed,53
28,14,Directed,1
28,16,Directed,4
28,18,Directed,1
28,20,Directed,2
28,22,Directed,1
28,33,Directed,1
28,6,Directed,1
28,8,Directed,5
29,17,Directed,128
29,23,Directed,3
29,6,Directed,1
3,1,Directed,1
3,10,Directed,2
3,11,Directed,2
3,12,Directed,5
3,16,Directed,57
3,19,Directed,1
3,20,Directed,1
3,9,Directed,1
30,10,Directed,1
30,11,Directed,7
30,16,Directed,6
30,18,Directed,1
30,2,Directed,2
30,22,Directed,6
30,23,Directed,1
30,28,Directed,6
30,29,Directed,1
30,34,Directed,1
30,38,Directed,1
30,6,Directed,5
31,18,Directed,1
31,38,Directed,4
31,5,Directed,1
31,6,Directed,1
32,15,Directed,2
32,6,Directed,7
33,1,Directed,1
33,10,Directed,1
33,16,Directed,5
33,20,Directed,1
33,30,Directed,2
33,34,Directed,11
33,38,Directed,1
33,6,Directed,4
33,8,Directed,1
33,9,Directed,1
34,1,Directed,1
34,16,Directed,11
34,18,Directed,2
34,20,Directed,1
34,26,Directed,1
34,30,Directed,8
34,33,Directed,1
34,5,Directed,2
34,6,Directed,3
34,8,Directed,1
35,1,Directed,1
35,12,Directed,1
35,14,Directed,69
35,15,Directed,42
35,17,Directed,2
35,25,Directed,33
35,26,Directed,1
35,27,Directed,4
35,29,Directed,3
35,31,Directed,1
35,32,Directed,1
35,36,Directed,1
35,37,Directed,1
35,6,Directed,11
36,14,Directed,2
36,15,Directed,3
36,16,Directed,3
36,18,Directed,6
36,25,Directed,1
36,35,Directed,32
36,6,Directed,2
36,8,Directed,1
37,17,Directed,3
38,2,Directed,1
38,6,Directed,10
4,8,Directed,2
5,2,Directed,24
5,38,Directed,2
5,6,Directed,2
5,8,Directed,1
6,26,Directed,1
6,27,Directed,1
6,31,Directed,5
6,38,Directed,50
6,5,Directed,1
7,1,Directed,7
7,13,Directed,2
7,14,Directed,1
7,16,Directed,9
7,18,Directed,2
7,19,Directed,3
7,20,Directed,1
7,29,Directed,1
7,33,Directed,1
7,34,Directed,3
7,6,Directed,3
7,8,Directed,4
7,9,Directed,3
8,1,Directed,1
8,10,Directed,1
8,11,Directed,1
8,16,Directed,12
8,19,Directed,3
8,21,Directed,1
8,3,Directed,4
8,33,Directed,2
8,34,Directed,2
8,6,Directed,1
8,7,Directed,1
